VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2018-10-19,           132,           200,     C01-1.ctl,auto-generated,          TIME,            DV,        v4.8.1,       default,

VPC results  
Continuous data
132 observations out of 132
"","        < TIME","            <=","    median.idv","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",    0.0000E+00,    2.5000E-01,    0.0000E+00,            17,     0.8223529,      1.222164,     0.7258816,       1.88187,    0.0000E+00,       0.16738,   -7.0095E-02,    4.0203E-01,    0.0000E+00,   -6.3063E-02,   -2.6081E-01,    1.6109E-01,    7.4000E-01,    6.9048E-01,    1.3390E-01,    8.4736E-01,    0.0000E+00,   -3.4968E-01,   -5.0444E-01,    6.0169E-03,    2.8400E+00,    4.6730E+00,    2.0862E+00,    6.0292E+00,    0.0000E+00,   -4.7357E-01,   -6.3785E-01,   -7.6979E-02,    3.0500E+00,    5.9384E+00,    2.7661E+00,    7.8656E+00,    0.0000E+00,   -5.7784E-01,   -9.5667E-01,   -2.1163E-01,    4.8600E+00,    7.2011E+00,    3.6656E+00,    1.2748E+01,      11.76471,      5.882353,      5.882353,      17.64706,             0,      17.64706,             0,      11.76471,
"",    2.5000E-01,    5.8000E-01,           0.5,            16,      4.266875,      4.367542,      3.034004,      6.009056,          3.52,       3.88235,        2.6397,        5.5581,    2.8900E+00,    2.7650E+00,    1.7919E+00,    4.4467E+00,    6.5700E+00,    5.1699E+00,    3.5874E+00,    7.9182E+00,    1.8900E+00,    1.6298E+00,    1.0678E+00,    3.5844E+00,    7.3700E+00,    7.7243E+00,    5.1834E+00,    1.2436E+01,    1.7200E+00,    1.2350E+00,    6.7292E-01,    2.8188E+00,    7.3700E+00,    9.1314E+00,    5.1834E+00,    1.2436E+01,    1.2900E+00,    9.3168E-01,   -3.9492E-02,    2.3724E+00,    7.9100E+00,    1.0844E+01,    5.9339E+00,    1.6886E+01,          6.25,             0,             0,          6.25,             0,             0,             0,             0,
"",    5.8000E-01,    1.9200E+00,          1.01,            16,      7.645625,      3.378861,      2.118571,      4.854854,          7.91,       2.73925,       1.50895,       4.38115,    7.1400E+00,    1.6955E+00,    9.8204E-01,    3.3366E+00,    8.3300E+00,    4.1247E+00,    2.5021E+00,    7.3037E+00,    5.2200E+00,    7.6206E-01,    4.1602E-01,    2.1613E+00,    1.0500E+01,    6.7959E+00,    4.1331E+00,    1.2446E+01,    5.0200E+00,    4.4610E-01,    4.3678E-02,    1.8347E+00,    1.0500E+01,    8.4229E+00,    4.1331E+00,    1.2446E+01,    4.6000E+00,    2.0499E-01,   -3.6891E-01,    1.2358E+00,    1.1400E+01,    1.0168E+01,    5.0443E+00,    1.7961E+01,          6.25,             0,             0,          6.25,          6.25,         18.75,             0,          6.25,
"",    1.9200E+00,    3.5200E+00,         2.025,            16,      7.893125,      1.302709,     0.5402662,      2.705211,          7.68,      0.769115,      0.345155,        1.6546,    7.0900E+00,    3.6909E-01,    9.0920E-02,    1.0400E+00,    8.7400E+00,    1.4941E+00,    6.7086E-01,    3.3066E+00,    6.5800E+00,   -3.1747E-02,   -3.0496E-01,    4.9460E-01,    9.7200E+00,    3.2716E+00,    1.4752E+00,    6.9291E+00,    6.3300E+00,   -1.9512E-01,   -3.7530E-01,    4.0369E-01,    9.7200E+00,    4.6248E+00,    1.4752E+00,    6.9291E+00,    6.3200E+00,   -3.3369E-01,   -7.0696E-01,    2.1366E-01,    9.7500E+00,    5.9497E+00,    2.0265E+00,    1.3194E+01,             0,             0,             0,             0,             0,             0,          6.25,             0,
"",    3.5200E+00,    5.0700E+00,    5.0000E+00,            17,      6.857647,     0.3723705,    0.07423006,     0.9075559,    6.5900E+00,        0.1986,   -1.9612E-02,    4.8441E-01,    5.8700E+00,   -1.6301E-02,   -2.2942E-01,    2.8427E-01,    7.5000E+00,    4.6669E-01,    1.2306E-01,    9.6387E-01,    5.5300E+00,   -2.6913E-01,   -4.7715E-01,    4.9352E-02,    8.5800E+00,    1.1457E+00,    3.7867E-01,    2.1303E+00,    5.2200E+00,   -3.9619E-01,   -5.9986E-01,   -2.7587E-02,    9.1800E+00,    1.7535E+00,    5.4182E-01,    3.7289E+00,    4.9400E+00,   -5.1877E-01,   -8.1474E-01,   -9.0304E-02,    1.0210E+01,    2.5292E+00,    6.9403E-01,    5.1350E+00,             0,             0,             0,             0,             0,             0,             0,             0,
"",    5.0700E+00,    9.0000E+00,          7.05,            18,      5.602778,    0.08184438,-0.0936060611111111,     0.3345603,         5.275,     0.0522415,     -0.128195,      0.273505,    4.5500E+00,   -1.2303E-01,   -3.0416E-01,    7.3897E-02,    6.2000E+00,    2.3922E-01,    1.1895E-02,    4.6618E-01,    4.2400E+00,   -3.6894E-01,   -5.2119E-01,   -9.9271E-02,    7.4700E+00,    5.2601E-01,    1.8011E-01,    8.4068E-01,    4.1100E+00,   -4.7962E-01,   -6.6308E-01,   -2.0331E-01,    8.0200E+00,    6.9408E-01,    2.6834E-01,    1.5844E+00,    4.0200E+00,   -5.7998E-01,   -9.3917E-01,   -2.9009E-01,    8.3600E+00,    9.2685E-01,    3.9372E-01,    2.5038E+00,             0,             0,             0,             0,             0,             0,             0,             0,
"",    9.0000E+00,    1.2050E+01,           9.3,            14,      4.703571,    0.01505673,    -0.1434352,     0.1764526,          4.47,     0.0086742,     -0.180195,       0.18704,    3.6200E+00,   -1.5511E-01,   -3.1760E-01,    5.6055E-02,    5.3300E+00,    1.7673E-01,   -5.9473E-02,    3.7914E-01,    3.1600E+00,   -3.9414E-01,   -6.2254E-01,   -1.4316E-01,    6.8900E+00,    4.2138E-01,    1.0531E-01,    6.9677E-01,    3.1600E+00,   -5.1516E-01,   -6.2254E-01,   -1.4316E-01,    6.8900E+00,    5.4954E-01,    1.0531E-01,    6.9677E-01,    3.0100E+00,   -6.1843E-01,   -8.5319E-01,   -2.1413E-01,    7.1400E+00,    6.6426E-01,    2.4681E-01,    1.0674E+00,             0,             0,             0,             0,             0,             0,             0,             0,
"",    1.2050E+01,    2.4650E+01,          24.1,            18,      2.257222,   0.008134035,-0.135023888888889,     0.1483639,          1.41,     0.0047851,     -0.177795,       0.17438,    1.1500E+00,   -1.6107E-01,   -3.6154E-01,    2.8063E-02,    2.7800E+00,    1.7325E-01,   -3.2028E-03,    3.6853E-01,    9.2000E-01,   -4.1564E-01,   -5.9352E-01,   -1.3306E-01,    3.7000E+00,    4.2923E-01,    1.5516E-01,    6.0644E-01,    9.0000E-01,   -5.3357E-01,   -7.1355E-01,   -1.8309E-01,    5.6800E+00,    5.4047E-01,    2.0380E-01,    6.8844E-01,    8.6000E-01,   -6.2297E-01,   -9.1971E-01,   -2.8645E-01,    5.9400E+00,    6.3549E-01,    3.0369E-01,    1.0816E+00,             0,             0,             0,             0,             0,             0,             0,             0,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",      3.030303,     0.7575758,
"       PI 80% ",     0.7575758,      3.787879,
"       PI 90% ",     0.7575758,      4.545455,
"       PI 95% ",     0.7575758,      2.272727,

NPC results  
bin 1: 17 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            11,      64.70588,              ,      29.41176,      76.47059,             6,      35.29412,              ,      23.52941,      70.58824,
"        40% PI",             3,      17.64706,              ,      11.76471,      52.94118,             2,      11.76471,              ,      11.76471,      52.94118,
"        80% PI",             2,      11.76471,              ,             0,      23.52941,             1,      5.882353,              ,             0,      23.52941,
"        90% PI",             2,      11.76471,              ,             0,      17.64706,             1,      5.882353,              ,             0,      17.64706,
"        95% PI",             1,      5.882353,              ,             0,      11.76471,             1,      5.882353,              ,             0,      11.76471,

NPC results  
bin 2: 16 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             8,            50,              ,         18.75,            75,             8,            50,              ,            25,         81.25,
"        40% PI",             5,         31.25,              ,          6.25,         56.25,             5,         31.25,              ,          12.5,         56.25,
"        80% PI",             1,          6.25,              ,             0,            25,             2,          12.5,              ,             0,         31.25,
"        90% PI",             0,             0,              ,             0,         18.75,             0,             0,              ,             0,         18.75,
"        95% PI",             0,             0,              ,             0,          12.5,             0,             0,              ,             0,          12.5,

NPC results  
bin 3: 16 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,            25,            75,            16,           100,             *,            25,            75,
"        40% PI",             0,             0,             *,          6.25,         56.25,            15,         93.75,             *,          6.25,         56.25,
"        80% PI",             0,             0,              ,             0,            25,            12,            75,             *,             0,         31.25,
"        90% PI",             0,             0,              ,             0,         18.75,             6,          37.5,             *,             0,         18.75,
"        95% PI",             0,             0,              ,             0,          12.5,             3,         18.75,             *,             0,          12.5,

NPC results  
bin 4: 16 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,         18.75,         81.25,            16,           100,             *,         18.75,         81.25,
"        40% PI",             0,             0,             *,          6.25,         56.25,            16,           100,             *,          6.25,         56.25,
"        80% PI",             0,             0,              ,             0,            25,            16,           100,             *,             0,         31.25,
"        90% PI",             0,             0,              ,             0,         18.75,            16,           100,             *,             0,         18.75,
"        95% PI",             0,             0,              ,             0,          12.5,            15,         93.75,             *,             0,          12.5,

NPC results  
bin 5: 17 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      23.52941,      76.47059,            17,           100,             *,      23.52941,      76.47059,
"        40% PI",             0,             0,             *,      11.76471,      58.82353,            17,           100,             *,      11.76471,      52.94118,
"        80% PI",             0,             0,              ,             0,      29.41176,            17,           100,             *,             0,      29.41176,
"        90% PI",             0,             0,              ,             0,      17.64706,            17,           100,             *,             0,      23.52941,
"        95% PI",             0,             0,              ,             0,      11.76471,            17,           100,             *,             0,      11.76471,

NPC results  
bin 6: 18 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      27.77778,      72.22222,            18,           100,             *,      27.77778,      72.22222,
"        40% PI",             0,             0,             *,      11.11111,            50,            18,           100,             *,      11.11111,            50,
"        80% PI",             0,             0,              ,             0,      27.77778,            18,           100,             *,             0,      27.77778,
"        90% PI",             0,             0,              ,             0,      16.66667,            18,           100,             *,             0,      16.66667,
"        95% PI",             0,             0,              ,             0,      11.11111,            18,           100,             *,             0,      11.11111,

NPC results  
bin 7: 14 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      21.42857,      78.57143,            14,           100,             *,      21.42857,      78.57143,
"        40% PI",             0,             0,             *,      7.142857,      57.14286,            14,           100,             *,      7.142857,      57.14286,
"        80% PI",             0,             0,              ,             0,      21.42857,            14,           100,             *,             0,      28.57143,
"        90% PI",             0,             0,              ,             0,      14.28571,            14,           100,             *,             0,      14.28571,
"        95% PI",             0,             0,              ,             0,      14.28571,            14,           100,             *,             0,      14.28571,

NPC results  
bin 8: 18 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      27.77778,      72.22222,            18,           100,             *,      27.77778,      72.22222,
"        40% PI",             0,             0,             *,      11.11111,            50,            18,           100,             *,      11.11111,            50,
"        80% PI",             0,             0,              ,             0,      22.22222,            18,           100,             *,             0,      27.77778,
"        90% PI",             0,             0,              ,             0,      16.66667,            18,           100,             *,             0,      16.66667,
"        95% PI",             0,             0,              ,             0,      11.11111,            18,           100,             *,             0,      11.11111,
