VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",    2018-10-19,           132,           200,     C07-2.ctl,auto-generated,          TIME,            DV,        v4.8.1,       default,

VPC results  
Continuous data
132 observations out of 132
"","        < TIME","            <=","    median.idv","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",    0.0000E+00,    2.5000E-01,    0.0000E+00,            17,     0.8223529,      1.325432,     0.6753946,       1.99296,    0.0000E+00,      0.515215,   -9.2950E-02,    1.2521E+00,    0.0000E+00,   -1.5868E-01,   -7.6214E-01,    5.2645E-01,    7.4000E-01,    1.7639E+00,    6.9376E-01,    2.5958E+00,    0.0000E+00,   -1.0472E+00,   -1.6059E+00,   -4.8133E-02,    2.8400E+00,    5.0391E+00,    2.5474E+00,    6.4892E+00,    0.0000E+00,   -1.4920E+00,   -2.0376E+00,   -3.3961E-01,    3.0500E+00,    6.3184E+00,    3.2039E+00,    8.3221E+00,    0.0000E+00,   -1.8407E+00,   -2.9570E+00,   -6.7415E-01,    4.8600E+00,    7.6186E+00,    3.8914E+00,    1.2545E+01,      11.76471,      17.64706,             0,      11.76471,             0,      11.76471,             0,      5.882353,
"",    2.5000E-01,    5.8000E-01,           0.5,            16,      4.266875,      4.771854,      3.496298,      6.315756,          3.52,       4.42995,        3.0755,        5.7743,    2.8900E+00,    3.3844E+00,    2.3270E+00,    4.9808E+00,    6.5700E+00,    5.6051E+00,    4.1408E+00,    7.9859E+00,    1.8900E+00,    2.0264E+00,    1.1246E+00,    3.8115E+00,    7.3700E+00,    7.9374E+00,    5.4471E+00,    1.4491E+01,    1.7200E+00,    1.3951E+00,    4.1500E-01,    3.3263E+00,    7.3700E+00,    9.4356E+00,    5.4471E+00,    1.4491E+01,    1.2900E+00,    9.3270E-01,   -5.4299E-01,    3.0714E+00,    7.9100E+00,    1.0824E+01,    6.2730E+00,    1.6848E+01,          12.5,             0,             0,            25,          6.25,          12.5,             0,          6.25,
"",    5.8000E-01,    1.9200E+00,          1.01,            16,      7.645625,      4.603846,      3.374475,      5.888869,          7.91,       4.21695,        3.0136,       5.48485,    7.1400E+00,    3.1762E+00,    2.3559E+00,    4.7857E+00,    8.3300E+00,    5.4432E+00,    3.8683E+00,    7.3660E+00,    5.2200E+00,    1.8999E+00,    1.2458E+00,    3.6446E+00,    1.0500E+01,    7.8146E+00,    5.3580E+00,    1.2128E+01,    5.0200E+00,    1.3464E+00,    6.7556E-01,    3.3866E+00,    1.0500E+01,    9.2518E+00,    5.3580E+00,    1.2128E+01,    4.6000E+00,    8.8333E-01,   -5.3964E-01,    2.8286E+00,    1.1400E+01,    1.0833E+01,    6.0610E+00,    1.7091E+01,          6.25,             0,          6.25,          12.5,             0,         31.25,          6.25,         18.75,
"",    1.9200E+00,    3.5200E+00,         2.025,            16,      7.893125,       4.06228,      2.988673,      5.355378,          7.68,       3.74185,        2.6699,       5.11085,    7.0900E+00,    2.8139E+00,    2.1314E+00,    4.2917E+00,    8.7400E+00,    4.8820E+00,    3.5826E+00,    7.1039E+00,    6.5800E+00,    1.6211E+00,    9.1553E-01,    3.2140E+00,    9.7200E+00,    6.8499E+00,    4.9351E+00,    1.1575E+01,    6.3300E+00,    1.0477E+00,    4.2249E-01,    2.8039E+00,    9.7200E+00,    7.8787E+00,    4.9351E+00,    1.1575E+01,    6.3200E+00,    6.4007E-01,   -8.7305E-01,    2.3608E+00,    9.7500E+00,    9.2970E+00,    5.6232E+00,    1.3756E+01,             0,             0,          6.25,          12.5,          6.25,            25,          12.5,         18.75,
"",    3.5200E+00,    5.0700E+00,    5.0000E+00,            17,      6.857647,      3.060467,      2.258602,      3.888198,    6.5900E+00,       2.85485,    1.9393E+00,    3.9253E+00,    5.8700E+00,    2.0804E+00,    1.3379E+00,    3.1317E+00,    7.5000E+00,    3.7790E+00,    2.6550E+00,    4.8317E+00,    5.5300E+00,    1.0288E+00,    3.8640E-01,    2.2912E+00,    8.5800E+00,    5.2603E+00,    3.5290E+00,    7.1615E+00,    5.2200E+00,    4.8363E-01,   -2.3213E-01,    1.9320E+00,    9.1800E+00,    6.2517E+00,    3.7488E+00,    7.7170E+00,    4.9400E+00,    6.6868E-02,   -9.7251E-01,    1.5520E+00,    1.0210E+01,    7.1461E+00,    4.3059E+00,    1.0408E+01,             0,             0,      5.882353,      11.76471,      5.882353,      23.52941,      5.882353,      11.76471,
"",    5.0700E+00,    9.0000E+00,          7.05,            18,      5.602778,      2.256903,      1.582751,      2.954903,         5.275,       2.15095,        1.3565,       2.87045,    4.5500E+00,    1.4463E+00,    7.1524E-01,    2.2948E+00,    6.2000E+00,    2.9031E+00,    1.9832E+00,    3.7131E+00,    4.2400E+00,    5.0011E-01,   -1.1080E-01,    1.6550E+00,    7.4700E+00,    4.1444E+00,    2.5750E+00,    5.1859E+00,    4.1100E+00,    7.7298E-02,   -4.8466E-01,    1.2537E+00,    8.0200E+00,    4.8393E+00,    2.9007E+00,    6.1416E+00,    4.0200E+00,   -3.5346E-01,   -1.5949E+00,    9.7211E-01,    8.3600E+00,    5.4043E+00,    3.4847E+00,    8.6172E+00,             0,             0,             0,      11.11111,             0,      22.22222,      5.555556,      38.88889,
"",    9.0000E+00,    1.2050E+01,           9.3,            14,      4.703571,      1.757968,       1.14197,      2.560213,          4.47,        1.7017,      0.909105,        2.5404,    3.6200E+00,    1.0146E+00,    2.6372E-01,    1.9796E+00,    5.3300E+00,    2.3871E+00,    1.6043E+00,    3.2568E+00,    3.1600E+00,    7.1179E-02,   -8.8607E-01,    1.0496E+00,    6.8900E+00,    3.4805E+00,    2.1835E+00,    4.9659E+00,    3.1600E+00,   -4.3935E-01,   -8.8607E-01,    1.0496E+00,    6.8900E+00,    4.1112E+00,    2.1835E+00,    4.9659E+00,    3.0100E+00,   -7.9727E-01,   -1.6449E+00,    8.1064E-01,    7.1400E+00,    4.6155E+00,    2.7025E+00,    6.5612E+00,             0,             0,      7.142857,      21.42857,      7.142857,      14.28571,             0,      14.28571,
"",    1.2050E+01,    2.4650E+01,          24.1,            18,      2.257222,      0.783218,      0.164471,      1.388344,          1.41,      0.753665,      0.163775,       1.39765,    1.1500E+00,    1.3987E-01,   -4.4970E-01,    8.3917E-01,    2.7800E+00,    1.3505E+00,    7.3566E-01,    2.1007E+00,    9.2000E-01,   -7.2159E-01,   -1.3327E+00,    3.9483E-01,    3.7000E+00,    2.3159E+00,    1.2005E+00,    3.1421E+00,    9.0000E-01,   -1.1151E+00,   -1.6320E+00,    7.5468E-02,    5.6800E+00,    2.7932E+00,    1.4668E+00,    3.7847E+00,    8.6000E-01,   -1.4182E+00,   -2.6497E+00,   -4.0122E-01,    5.9400E+00,    3.3226E+00,    1.7033E+00,    4.7944E+00,             0,      38.88889,      5.555556,             0,      5.555556,      5.555556,             0,      5.555556,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",      3.787879,      7.575758,
"       PI 80% ",      3.787879,      12.87879,
"       PI 90% ",      3.787879,      18.18182,
"       PI 95% ",      3.787879,      15.15152,

NPC results  
bin 1: 17 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             9,      52.94118,              ,      29.41176,      70.58824,             8,      47.05882,              ,      29.41176,      70.58824,
"        40% PI",             3,      17.64706,              ,      11.76471,      52.94118,             1,      5.882353,             *,      11.76471,      52.94118,
"        80% PI",             2,      11.76471,              ,             0,      29.41176,             0,             0,              ,             0,      23.52941,
"        90% PI",             2,      11.76471,              ,             0,      17.64706,             0,             0,              ,             0,      17.64706,
"        95% PI",             1,      5.882353,              ,             0,      11.76471,             0,             0,              ,             0,      11.76471,

NPC results  
bin 2: 16 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            10,          62.5,              ,            25,         81.25,             6,          37.5,              ,         18.75,            75,
"        40% PI",             7,         43.75,              ,          6.25,         56.25,             5,         31.25,              ,          6.25,         56.25,
"        80% PI",             5,         31.25,             *,             0,            25,             3,         18.75,              ,             0,         31.25,
"        90% PI",             1,          6.25,              ,             0,         18.75,             1,          6.25,              ,             0,         18.75,
"        95% PI",             0,             0,              ,             0,          12.5,             1,          6.25,              ,             0,          12.5,

NPC results  
bin 3: 16 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             1,          6.25,             *,            25,            75,            15,         93.75,             *,            25,            75,
"        40% PI",             0,             0,             *,          6.25,         56.25,            12,            75,             *,          6.25,         56.25,
"        80% PI",             0,             0,              ,             0,            25,            10,          62.5,             *,             0,         31.25,
"        90% PI",             0,             0,              ,             0,         18.75,             7,         43.75,             *,             0,         18.75,
"        95% PI",             0,             0,              ,             0,          12.5,             3,         18.75,             *,             0,          12.5,

NPC results  
bin 4: 16 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,            25,            75,            16,           100,             *,            25,            75,
"        40% PI",             0,             0,             *,          6.25,         56.25,            16,           100,             *,          6.25,         56.25,
"        80% PI",             0,             0,              ,             0,            25,            13,         81.25,             *,             0,         31.25,
"        90% PI",             0,             0,              ,             0,         18.75,             9,         56.25,             *,             0,         18.75,
"        95% PI",             0,             0,              ,             0,          12.5,             5,         31.25,             *,             0,         18.75,

NPC results  
bin 5: 17 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      29.41176,      76.47059,            17,           100,             *,      23.52941,      70.58824,
"        40% PI",             0,             0,             *,      11.76471,      52.94118,            17,           100,             *,      5.882353,      52.94118,
"        80% PI",             0,             0,              ,             0,      23.52941,            16,      94.11765,             *,             0,      29.41176,
"        90% PI",             0,             0,              ,             0,      17.64706,            12,      70.58824,             *,             0,      17.64706,
"        95% PI",             0,             0,              ,             0,      11.76471,             7,      41.17647,             *,             0,      11.76471,

NPC results  
bin 6: 18 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      27.77778,      77.77778,            18,           100,             *,      22.22222,      72.22222,
"        40% PI",             0,             0,             *,      11.11111,            50,            18,           100,             *,      5.555556,            50,
"        80% PI",             0,             0,              ,             0,      27.77778,            18,           100,             *,             0,      27.77778,
"        90% PI",             0,             0,              ,             0,      16.66667,            15,      83.33333,             *,             0,      16.66667,
"        95% PI",             0,             0,              ,             0,      11.11111,            13,      72.22222,             *,             0,      16.66667,

NPC results  
bin 7: 14 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      28.57143,      71.42857,            14,           100,             *,      28.57143,      71.42857,
"        40% PI",             0,             0,             *,      7.142857,            50,            14,           100,             *,      7.142857,            50,
"        80% PI",             0,             0,              ,             0,      28.57143,            13,      92.85714,             *,             0,      28.57143,
"        90% PI",             0,             0,              ,             0,      21.42857,            10,      71.42857,             *,             0,      14.28571,
"        95% PI",             0,             0,              ,             0,      14.28571,             7,            50,             *,             0,      14.28571,

NPC results  
bin 8: 18 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",             0,             0,             *,      22.22222,      72.22222,            18,           100,             *,      27.77778,      77.77778,
"        40% PI",             0,             0,             *,      11.11111,            50,            16,      88.88889,             *,      5.555556,            50,
"        80% PI",             0,             0,              ,             0,      27.77778,             7,      38.88889,             *,             0,      22.22222,
"        90% PI",             0,             0,              ,             0,      16.66667,             5,      27.77778,             *,             0,      16.66667,
"        95% PI",             0,             0,              ,             0,      11.11111,             4,      22.22222,             *,             0,      11.11111,
