TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -3000  3.07091E+00  2.96107E+01  1.14250E+01 -6.47781E-01  8.07303E-02  2.27565E-02  9.33800E-02  4.07599E-03  7.47406E-02  3.77609E-02  2.95026E-02  8.54557E-02    5830.0492252844633
        -2999  3.07091E+00  2.96107E+01  1.14250E+01 -6.47781E-01  8.07303E-02  2.28298E-02  1.01774E-01 -2.61981E-03  7.12747E-02  3.91922E-02  2.49997E-02  8.33652E-02    5832.8625694313669
        -2998  3.07091E+00  2.96107E+01  1.14250E+01 -5.43447E-01  8.07303E-02  2.27805E-02  1.11629E-01 -9.00315E-03  7.55730E-02  3.35990E-02  2.64397E-02  7.96994E-02    5822.4178099489955
        -2997  3.07091E+00  2.96107E+01  1.14250E+01 -5.43447E-01  7.57475E-02  2.33187E-02  1.18221E-01  3.78347E-03  6.70689E-02  4.23053E-02  2.78768E-02  7.99875E-02    5850.2619916055137
        -2996  3.11533E+00  2.97603E+01  1.13436E+01 -6.17292E-01  8.26702E-02  2.15173E-02  1.08707E-01  7.18316E-03  7.62942E-02  4.92602E-02  3.03170E-02  9.62535E-02    5812.9181320100388
        -2995  3.00754E+00  2.97603E+01  1.13436E+01 -5.62714E-01  7.66568E-02  2.28337E-02  8.21290E-02  8.48112E-03  8.20277E-02  2.88244E-02  2.52393E-02  7.88984E-02    5838.5436619080238
        -2994  3.00754E+00  2.97603E+01  1.13436E+01 -6.74901E-01  7.66568E-02  2.27597E-02  1.00819E-01  1.84361E-03  8.14189E-02  3.38696E-02  3.10654E-02  8.96873E-02    5795.7127039540655
        -2993  3.14271E+00  2.97705E+01  1.15673E+01 -6.34688E-01  7.40265E-02  2.34829E-02  9.82114E-02  1.62426E-03  7.82804E-02  4.54192E-02  3.66453E-02  1.01833E-01    5797.0441792610818
        -2992  3.04518E+00  2.97705E+01  1.15207E+01 -6.25737E-01  7.40265E-02  2.24078E-02  9.71150E-02  1.11779E-02  7.10280E-02  4.11188E-02  2.83372E-02  8.35538E-02    5745.7579096248364
        -2991  3.04518E+00  2.97705E+01  1.15207E+01 -6.25737E-01  7.40265E-02  2.25571E-02  1.00395E-01  9.22018E-03  8.08886E-02  4.35007E-02  2.85519E-02  8.24023E-02    5775.6944205951477
