TABLE NO.  2
 ID             ,SID            ,CID            ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  1.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.79561595E+00, 1.23390519E+01,-1.69487242E-03,-8.71183202E-02,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  2.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.37733832E+00, 1.13016271E+01,-6.52217450E-02,-1.74940800E-01,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  3.00000000E+00, 1.00000000E+00, 1.00000000E+00, 5.34343531E+00, 1.29641876E+01,-2.42103801E-01,-3.76967521E-02,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  4.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.58237899E+00, 1.34112483E+01,-3.35763347E-02,-3.79372245E-03,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  5.00000000E+00, 1.00000000E+00, 1.00000000E+00, 7.49922151E+00, 1.41822991E+01, 9.68266530E-02, 5.21071356E-02,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  6.00000000E+00, 1.00000000E+00, 1.00000000E+00, 7.63318151E+00, 1.44317004E+01, 1.14532168E-01, 6.95397000E-02,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  7.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.55031759E+00, 1.33796261E+01,-3.84590277E-02,-6.15439909E-03,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  8.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.74533597E+00, 1.27992722E+01,-9.12126546E-03,-5.04991985E-02,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  9.00000000E+00, 1.00000000E+00, 1.00000000E+00, 6.75767813E+00, 1.18975860E+01,-7.29320531E-03,-1.23551984E-01,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  1.00000000E+01, 1.00000000E+00, 1.00000000E+00, 7.03664062E+00, 1.58681076E+01, 3.31583079E-02, 1.64423776E-01,-2.85745680E-01,-4.12026912E-01, 2.09274640E-01,-6.18771757E-01
  1.10000000E+01, 2.00000000E+00, 1.00000000E+00, 8.92581107E+00, 2.09747430E+01,-1.52744462E-01,-1.03374000E-01, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.20000000E+01, 2.00000000E+00, 1.00000000E+00, 9.59707005E+00, 2.54632208E+01,-8.02338130E-02, 9.05420903E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.30000000E+01, 2.00000000E+00, 1.00000000E+00, 1.17859519E+01, 2.39510113E+01, 1.25216643E-01, 2.93175473E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.40000000E+01, 2.00000000E+00, 1.00000000E+00, 1.01673962E+01, 2.54538904E+01,-2.25055142E-02, 9.01755957E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.50000000E+01, 2.00000000E+00, 1.00000000E+00, 1.02840538E+01, 2.45703775E+01,-1.10971370E-02, 5.48485515E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.60000000E+01, 2.00000000E+00, 1.00000000E+00, 8.96533958E+00, 2.22032714E+01,-1.48325677E-01,-4.64533610E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.70000000E+01, 2.00000000E+00, 1.00000000E+00, 1.28094210E+01, 2.15637675E+01, 2.08489253E-01,-7.56785256E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.80000000E+01, 2.00000000E+00, 1.00000000E+00, 1.16485695E+01, 2.19929098E+01, 1.13491725E-01,-5.59728803E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  1.90000000E+01, 2.00000000E+00, 1.00000000E+00, 9.82860429E+00, 2.44957717E+01,-5.63947222E-02, 5.18075195E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  2.00000000E+01, 2.00000000E+00, 1.00000000E+00, 1.03388419E+01, 2.15739694E+01,-5.78380078E-03,-7.52055335E-02, 1.37973418E-01, 1.34778581E-01, 2.09274640E-01,-6.18771757E-01
  2.10000000E+01, 3.00000000E+00, 1.00000000E+00, 1.12595121E+01, 2.51955985E+01, 4.88081404E-02, 2.18591347E-02, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.20000000E+01, 3.00000000E+00, 1.00000000E+00, 9.20863472E+00, 2.59262762E+01,-1.52263550E-01, 5.04468010E-02, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.30000000E+01, 3.00000000E+00, 1.00000000E+00, 1.03395137E+01, 2.46490968E+01,-3.64323150E-02,-6.99222844E-05, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.40000000E+01, 3.00000000E+00, 1.00000000E+00, 1.13904529E+01, 2.19755840E+01, 6.03703858E-02,-1.14878163E-01, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.50000000E+01, 3.00000000E+00, 1.00000000E+00, 9.66099986E+00, 2.30669746E+01,-1.04308002E-01,-6.64082568E-02, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.60000000E+01, 3.00000000E+00, 1.00000000E+00, 1.05127468E+01, 2.58163863E+01,-1.98166440E-02, 4.61992368E-02, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
